Fundo,Data-Base,Data Pagamento,Último Dividendo (R$),Link Relatório,Status
HGRU11,,,,,NOVA DATA-BASE
KEVE11,,,,,NOVA DATA-BASE
BTAL11,,,,,NOVA DATA-BASE
XPML11,,,,,NOVA DATA-BASE
JSRE11,,,,,NOVA DATA-BASE
TVRI11,,,,,NOVA DATA-BASE
RECR11,,,,,NOVA DATA-BASE
KNRI11,,,,,NOVA DATA-BASE
RBRF11,,,,,NOVA DATA-BASE
MXRF11,,,,,NOVA DATA-BASE
RZTR11,,,,,NOVA DATA-BASE
XPCI11,,,,,NOVA DATA-BASE
BRCO11,,,,,NOVA DATA-BASE
HGRE11,,,,,NOVA DATA-BASE
VGIR11,,,,,NOVA DATA-BASE
XPLG11,,,,,NOVA DATA-BASE
CPTS11,,,,,NOVA DATA-BASE
ALZR11,,,,,NOVA DATA-BASE
KFOF11,,,,,NOVA DATA-BASE
IRDM11,,,,,NOVA DATA-BASE
RBRR11,,,,,NOVA DATA-BASE
KNHF11,,,,,NOVA DATA-BASE
VISC11,,,,,NOVA DATA-BASE
HGLG11,,,,,NOVA DATA-BASE
VIUR11,,,,,NOVA DATA-BASE
BTLG11,,,,,NOVA DATA-BASE
KNHY11,,,,,NOVA DATA-BASE
MCCI11,,,,,NOVA DATA-BASE
RBRY11,,,,,NOVA DATA-BASE
KNSC11,,,,,NOVA DATA-BASE
PVBI11,,,,,NOVA DATA-BASE
HSML11,,,,,NOVA DATA-BASE
KNUQ11,,,,,NOVA DATA-BASE
KNCR11,,,,,NOVA DATA-BASE
LVBI11,,,,,NOVA DATA-BASE
FATN11,,,,,NOVA DATA-BASE
GGRC11,,,,,NOVA DATA-BASE
KORE11,,,,,NOVA DATA-BASE
TRXF11,31/07/2025,14/08/2025,"0,93","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=957030&flnk",NOVA DATA-BASE
HGCR11,,,,,NOVA DATA-BASE
HGFF11,,,,,NOVA DATA-BASE
VINO11,,,,,NOVA DATA-BASE
TGAR11,,,,,NOVA DATA-BASE
KNIP11,,,,,NOVA DATA-BASE
RBVA11,,,,,NOVA DATA-BASE
VILG11,,,,,NOVA DATA-BASE
VCJR11,,,,,NOVA DATA-BASE
