Fundo,Data-Base,Data Pagamento,Último Dividendo (R$),Link Relatório,Status
HGRU11,30/06/2025,14/07/2025,"1,55","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=936117&flnk",NOVO
KEVE11,30/06/2025,15/07/2025,"34,529218487278","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=936013&flnk",NOVO
BTAL11,17/07/2025,24/07/2025,"0,9","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=948857&flnk",NOVO
XPML11,18/07/2025,25/07/2025,"0,92","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=949701&flnk",NOVO
JSRE11,30/06/2025,14/07/2025,"0,48","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=935928&flnk",NOVO
TVRI11,30/06/2025,14/07/2025,"1,03","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=935745&flnk",NOVO
RECR11,07/07/2025,14/07/2025,"1,0141","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=941122&flnk",NOVO
KNRI11,30/06/2025,14/07/2025,1,"https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=935998&flnk",NOVO
RBRF11,09/07/2025,16/07/2025,"0,061","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=942868&flnk",NOVO
MXRF11,30/06/2025,14/07/2025,"0,1","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=935890&flnk",NOVO
RZTR11,30/06/2025,07/07/2025,"1,05","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=936143&flnk",NOVO
XPCI11,30/06/2025,14/07/2025,1,"https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=936062&flnk",NOVO
BRCO11,30/06/2025,14/07/2025,"1,05","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=936032&flnk",NOVO
HGRE11,30/06/2025,14/07/2025,"2,55","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=936112&flnk",NOVO
VGIR11,10/07/2025,17/07/2025,"0,12","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=943537&flnk",NOVO
XPLG11,30/06/2025,14/07/2025,"0,82","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=935875&flnk",NOVO
CPTS11,10/07/2025,17/07/2025,"0,088","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=943540&flnk",NOVO
ALZR11,18/07/2025,25/07/2025,"0,0937","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=949616&flnk",NOVO
KFOF11,30/06/2025,14/07/2025,"0,75","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=936015&flnk",NOVO
IRDM11,09/07/2025,16/07/2025,"0,84","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=942869&flnk",NOVO
RBRR11,09/07/2025,16/07/2025,1,"https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=942862&flnk",NOVO
KNHF11,30/06/2025,10/07/2025,1,"https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=936018&flnk",NOVO
VISC11,30/06/2025,14/07/2025,"0,81","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=935718&flnk",NOVO
HGLG11,30/06/2025,14/07/2025,"1,1","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=936115&flnk",NOVO
VIUR11,30/06/2025,14/07/2025,"0,067","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=935706&flnk",NOVO
BTLG11,15/07/2025,25/07/2025,"0,7801","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=946998&flnk",NOVO
KNHY11,30/06/2025,11/07/2025,"1,3","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=936019&flnk",NOVO
MCCI11,10/07/2025,17/07/2025,"0,9","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=943530&flnk",NOVO
RBRY11,09/07/2025,16/07/2025,"1,15","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=942865&flnk",NOVO
KNSC11,30/06/2025,14/07/2025,"0,09","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=935999&flnk",NOVO
PVBI11,30/06/2025,07/07/2025,"0,5","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=935852&flnk",NOVO
HSML11,30/06/2025,07/07/2025,"0,65","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=935960&flnk",NOVO
KNUQ11,30/06/2025,10/07/2025,"1,4","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=936000&flnk",NOVO
KNCR11,30/06/2025,11/07/2025,"1,2","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=936017&flnk",NOVO
LVBI11,30/06/2025,07/07/2025,"0,75","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=935854&flnk",NOVO
FATN11,04/07/2025,14/07/2025,"0,8","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=939752&flnk",NOVO
GGRC11,01/07/2025,08/07/2025,"0,105","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=937470&flnk",NOVO
KORE11,30/06/2025,14/07/2025,"1,25","https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=936001&flnk",NOVO
